Module Entrys: 4600             Audit Entrys: 3073            
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: write            Audit: 202
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 0
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: read             Audit: 202
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: write            Audit: 202
Pid: 11052            Module: poll             Audit: 202
Pid: 11052            Module: read             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: epoll_wait'      Audit: 1
Pid: 10167            Module: read             Audit: 232
Pid: 10167            Module: sendmsg'         Audit: 0
Pid: 11052            Module: epoll_wait'      Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: write            Audit: 0
Pid: 11052            Module: recvmsg'         Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: write            Audit: 232
Pid: 11052            Module: poll             Audit: 47
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 11052            Module: write            Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: read             Audit: 7
Pid: 11052            Module: poll             Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 0
Pid: 10167            Module: futex            Audit: 46
Pid: 10167            Module: futex            Audit: 232
Pid: 10167            Module: write            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: epoll_wait'      Audit: 0
Pid: 10167            Module: read             Audit: 1
Pid: 10167            Module: sendmsg'         Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: write            Audit: 1
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: epoll_wait'      Audit: 7
Pid: 10167            Module: read             Audit: 7
Pid: 10167            Module: sendmsg'         Audit: 202
Pid: 11052            Module: epoll_wait'      Audit: 232
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: recvmsg'         Audit: 47
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: write            Audit: 1
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: read             Audit: 0
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 11052            Module: poll             Audit: 7
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: write            Audit: 202
Pid: 10167            Module: futex            Audit: 202
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 232
Pid: 10167            Module: epoll_wait'      Audit: 0
Pid: 10167            Module: read             Audit: 46
Pid: 10167            Module: sendmsg'         Audit: 232
Pid: 11052            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 10167            Module: futex            Audit: 47
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: write            Audit: 47
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 0
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: epoll_wait'      Audit: 7
Pid: 10167            Module: read             Audit: 0
Pid: 10167            Module: sendmsg'         Audit: 7
Pid: 11052            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 10167            Module: futex            Audit: 1
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: write            Audit: 0
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: futex            Audit: 7
Pid: 10167            Module: epoll_wait'      Audit: 202
Pid: 10167            Module: read             Audit: 202
Pid: 10167            Module: sendmsg'         Audit: 202
Pid: 11052            Module: epoll_wait'      Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: write            Audit: NOT_FILTERED
Pid: 11052            Module: recvmsg'         Audit: NOT_FILTERED
Pid: 11052            Module: poll             Audit: NOT_FILTERED
Pid: 11052            Module: read             Audit: NOT_FILTERED
